accession	source_accession	is_new	include_metadata	atypical_warnings	role_tags
GCA_000027325.1	GCA_000027325.1	false	true	NA	gcode4_candidate;eggnog_smoke_candidate
GCA_000027345.1	GCA_000027345.1	false	true	NA	gcode4_candidate
GCF_000008145.1	GCF_000008145.1	false	true	NA	gcode11_candidate;crispr_negative_candidate
GCA_965226525.1	GCA_965226525.1	false	true	NA	gcode4_candidate;crispr_positive_candidate
GCA_000027325.1_NEW	GCA_000027325.1	true	false	NA	missing_metadata_case
MYCO-ATYPICAL	GCA_000027325.1	false	true	cell culture adapted	atypical_excluded_candidate;gcode4_candidate
MYCO_EXCEPTION	GCA_000027325.1	false	true	unverified source organism	atypical_exception_candidate;gcode4_candidate
MYCO_MIXED	GCA_000027325.1	false	true	genome length too small, unverified source organism	atypical_mixed_candidate;gcode4_candidate
BRUCELLA-PAIR	GCF_000008145.1	false	true	NA	ani_cluster_candidate;collision_candidate;gcode11_candidate
BRUCELLA PAIR	GCF_000008145.1	false	true	NA	ani_cluster_candidate;collision_candidate;gcode11_candidate
